date,database_or_source,exact_query,filters,result_count,inclusion_decision,exclusion_reason,duplicate_of,evidence_type,full_text_available,source_url
2026-07-29,GitHub API search/repositories,q=authorization-bom in:name,none,0,excluded,no match found - name is free,,repo,yes,https://github.com/search?q=authorization-bom+in%3Aname
2026-07-29,GitHub API search/repositories,q=AuthBOM in:name,none,0,excluded,no match found,,repo,yes,https://github.com/search?q=AuthBOM+in%3Aname
2026-07-29,GitHub API search/repositories,q=AzBOM in:name,none,3,included as collision evidence,dtylman/azbom is a real repo (different domain: Azure component SBOM in Go),,repo,yes,https://github.com/dtylman/azbom
2026-07-29,GitHub API search/repositories,q="authorization bill of materials" in:readme,none,0,excluded,no match found,,repo,yes,
2026-07-29,PyPI JSON API,GET /pypi/authorization-bom/json,none,404,excluded,package name unclaimed,,registry,yes,https://pypi.org/pypi/authorization-bom/json
2026-07-29,PyPI JSON API,GET /pypi/authbom/json,none,404,excluded,package name unclaimed,,registry,yes,https://pypi.org/pypi/authbom/json
2026-07-29,PyPI JSON API,GET /pypi/azbom/json,none,404,excluded,package name unclaimed,,registry,yes,https://pypi.org/pypi/azbom/json
2026-07-29,General web search (WebSearch tool),"""Authorization Bill of Materials"" security",none,10,excluded,"no source uses this exact phrase; results are generic SBOM/NDAA coverage",,web,yes,
2026-07-29,General web search (WebSearch tool),"""AuthBOM"" OR ""AzBOM"" authorization security",none,7,excluded,no source uses either term in the authorization-security sense,,web,yes,
2026-07-29,General web search (WebSearch tool),"""ABOM"" acronym meaning software OR security OR manufacturing",none,10,noted-not-included,"search assistant asserted 'ABOM = AI/Agent Bill of Materials' but no cited source page actually defines this; treated as unverified model gloss, not evidence",,web,no,
2026-07-29,General web search (WebSearch tool),CycloneDX SPDX OSCAL authorization entitlement effective permission extension,none,7,included,"confirms SPDX 3.0 profile architecture (Security/Licensing/Build/AI/Dataset) has no Authorization profile as of search date; no CycloneDX authorization schema field found",,web,partial,https://cyclonedx.org/tool-center/
2026-07-29,arXiv (via WebFetch),"Permission Manifests for Web Agents (arXiv 2601.02371)",v2 2026-01-12,1,included - close prior art,"robots.txt-style website-declared agent-interaction manifest; scoped to web-agent/website interactions, not an enterprise cross-identity effective-permission evidence artifact",,preprint,yes,https://arxiv.org/abs/2601.02371
2026-07-29,arXiv (via WebFetch),"Authorization Propagation in Multi-Agent AI Systems (arXiv 2605.05440)",2026-05-06,1,included - close prior art,"defines authorization propagation as workflow property with capability tokens/task-scoped envelopes/dependency-graph enforcement; runtime enforcement architecture, not a portable BOM-style evidence format",,preprint,yes,https://arxiv.org/abs/2605.05440
2026-07-29,arXiv (via WebSearch),"OpenID Connect for Agents (OIDC-A) 1.0 (arXiv 2509.25974)",2025-09,1,included - close prior art,"standardizes agent identity + delegation chain validation + attestation as an OIDC extension; protocol/token-format contribution, not an inventory/evidence-manifest format",,preprint,yes,https://arxiv.org/abs/2509.25974
2026-07-29,Google Patents / Justia (via WebSearch),US11757886B2 Analysis of role reachability using policy complements,granted 2024-07-09,1,included - prior art,"Amazon Technologies patent: static role-assumption reachability analysis for AWS IAM roles with tag-based policies; single-cloud-provider scope, no manifest artifact, no human/agent/workload unification, no temporal declared/observed/drift states",,patent,yes,https://patents.google.com/patent/US11757886
2026-07-29,Justia (via WebSearch),US12034727 Analysis of role reachability with transitive tags,related family to US11757886,1,included - prior art,same assignee/inventors, transitive-tag variant of the same AWS IAM reachability analysis,US11757886B2,patent,yes,https://patents.justia.com/patent/20220191205
2026-07-29,General web search (WebSearch tool),CIEM cloud infrastructure entitlement management effective permissions non-human identity 2026 gap,none,9,included - strongest commercial comparator,"Veza Access Graph: commercial effective-permission graph across human + non-human + AI-agent identities, cross-cloud/SaaS, ~3000 integrations claimed by vendor (vendor claim, not verified benchmark)",,vendor,partial,https://veza.com/search-access-graph/
2026-07-29,General web search (WebSearch tool),toxic combination separation of duty detection tool IGA SailPoint Saviynt authorization graph,none,8,included - mature commercial comparator,"SailPoint/Saviynt: mature commercial SoD/toxic-combination detection, transaction-level for ERP (Saviynt), reporting-level (SailPoint); proprietary, not evidence-portable/BOM-format, no published effective-permission formal model found",,vendor,partial,https://documentation.sailpoint.com/saas/help/sod/index.html
2026-07-29,General web search (WebSearch tool),MCP tool authorization inventory AI agent permission audit 2026,none,9,included - crowded adjacent category,"Active 2026 commercial category (MCP gateways: Arcade Strata Obot Aptible MintMCP LangProtect Agensi) doing discovery/inventory + tool-level access control + audit logging for MCP servers; mostly runtime gateways, not standardized portable manifest format; Anthropic-facilitated Security Interest Group (chartered June 2026) explicitly scoping tamper-evident tool-call records",,vendor/community,partial,https://www.mintmcp.com/blog/ai-agent-security
2026-07-29,General web search (WebSearch tool),SCITT SLSA in-toto DSSE attestation authorization decision provenance,none,9,included,"SLSA/in-toto/DSSE attest to build/supply-chain step provenance and in-toto Layouts authorize which actors may perform which step - adjacent signing/attestation infrastructure ABOM can reuse rather than reinvent, but they do not model runtime effective-permission or authorization drift",,standard,yes,https://slsa.dev/spec/v0.1/provenance
